ChemGroup,Chem,Sediment conc,Surface,Dissolved surface,Porewater,,,,,,
Chlordane,alphaChlordane,0.5,0.32,,,,,,,,
Chlordane,gammaChlordane,0.5,0.16,,,,,,,,
Chlordane,alphaNonachlor,0.49,0.28,,,,,,,,
Chlordane,gammaNonachlor,0.5,0.05,,,,,,,,
Chlordane,Oxychlordane,0.23,0.09,,,,,,,,
Dieldrin,Dieldrin,0.5,0.23,,,,,,,,
DDT,op-DDD,0.189302326,,9.305665792,,,,,,,
DDT,op-DDE,6.704795349,,44.88585023,63.87,,,,,,
DDT,op-DDT,1.2,,,15.68,,,,,,
DDT,pp-DDD,3.243651395,,19.45333669,,,,,,,
DDT,pp-DDE,44.74623256,,306.1044638,,,,,,,
DDT,pp-DDT,1.099302326,,8.092710587,,,,,,,
PCB,PCB 8,0.5,16.84,,,,,,,,
PCB,PCB 11,0.36,,,47.65,,,,,,
PCB,PCB 18,0.101054884,,13.185837,,,,,,,
PCB,PCB 27,0.44,,,,,,,,,
PCB,PCB 28,0.166863488,,11.43476661,,,,,,,
PCB,PCB 29,0.72,,,,,,,,,
PCB,PCB 31,0.13606575,,6.363272245,,,,,,,
PCB,PCB 33,0.36,,,,,,,,,
PCB,PCB 37,0.42,,,,,,,,,
PCB,PCB 44,0.405351163,,16.2247466,,,,,,,
PCB,PCB 49,0.5,,,,,,,,,
PCB,PCB 52,0.5,27.86,17.33,,,,,,,
PCB,PCB 56,0.54,,,,,,,,,
PCB,PCB 60,0.61,120.4,65.32,140.8,,,,,,
PCB,PCB 64,0.38,,,,,,,,,
PCB,PCB 66,1.05,,,,,,,,,
PCB,PCB 70,1.35,,,,,,,,,
PCB,PCB 74,0.194457209,,3.470400349,,,,,,,
PCB,PCB 77,1.12,,,,,,,,,
PCB,PCB 81,1.09,,,,,,,,,
PCB,PCB 87,1.4,,,,,,,,,
PCB,PCB 95,0.77,,,,,,,,,
PCB,PCB 97,0.3636925,,3.681928399,,,,,,,
PCB,PCB 99,0.617086047,,5.897746631,,,,,,,
PCB,PCB 101,0.181250006,,,,,,,,,
PCB,PCB 105,0.454006977,,1.599129689,,,,,,,
PCB,PCB 110,1.601034884,,9.244741774,,,,,,,
PCB,PCB 114,0.33,,,,,,,,,
PCB,PCB 118,0.275000006,,,17.98,,,,,,
PCB,PCB 119,0.41,,,,,,,,,
PCB,PCB 123,0.63,56.74,,,,,,,,
PCB,PCB 126,0.38,,,,,,,,,
PCB,PCB 128,0.71,,96.32,,,,,,,
PCB,PCB 132,0.33,,,,,,,,,
PCB,PCB 137,0.56,,165.6,,,,,,,
PCB,PCB 138,0.25384615,,,,,,,,,
PCB,PCB 141,0.29,,,27.86,,,,,,
PCB,PCB 146,1.01,,,,,,,,,
PCB,PCB 149,1.25,,,,,,,,,
PCB,PCB 151,0.215226512,,1.879261719,,,,,,,
PCB,PCB 153,1.39244,,5.251926401,,,,,,,
PCB,PCB 156,0.148466047,,0.319787514,,,,,,,
PCB,PCB 157,0.56,,,,,,,,,
PCB,PCB 158,1.3,,,,,,,,,
PCB,PCB 167,0.74,,,,,,,,,
PCB,PCB 168,0.21,,,,,,,,,
PCB,PCB 169,1.11,,,,,,,,,
PCB,PCB 170,0.330709302,,0.569421342,,,,,,,
PCB,PCB 174,0.322745,,0.894510598,,,,,,,
PCB,PCB 177,0.121874884,,0.522629476,,,,,,,
PCB,PCB 180,0.697543256,,1.495032452,,,,,,,
PCB,PCB 183,0.112256047,,0.451321306,,,,,,,
PCB,PCB 187,0.7125,,,,,,,,,
PCB,PCB 189,0.64,,,,,,,,,
PCB,PCB 194,0.19812907,,0.238347374,,,,,,,
PCB,PCB 195,0.066266,,0.10184514,,,,,,,
PCB,PCB 198,0.45,,,,,,,,,
PCB,PCB 199,0.68,,,,,,,,,
PCB,PCB 200,0.77,,,,,,,,,
PCB,PCB 201,0.015007186,,0.04712185,,,,,,,
PCB,PCB 203,1.15,,,,,,,,,
PCB,PCB 206,1.02,117.8,,125.7,,,,,,
PCB,PCB 209,0.86,,,,,,,,,
